tool	JPF svcomp@766cc2a	JPF svcomp@766cc2a	JPF svcomp@766cc2a	JPF svcomp@766cc2a
run set	algorithms	algorithms	algorithms	algorithms
results/algorithms/	status	cputime (s)	walltime (s)	memory (MB)
BellmanFord-FunSat01	correct	0.586000	0.586000	0.000000
BellmanFord-FunSat02	unknown	0.525000	0.525000	0.000000
BellmanFord-FunUnsat01	incorrect	0.599000	0.599000	0.000000
BellmanFord-FunUnsat02	unknown	0.515000	0.515000	0.000000
BellmanFord-MemSat01	correct	0.600000	0.600000	0.000000
BellmanFord-MemSat02	unknown	0.496000	0.496000	0.000000
BellmanFord-MemUnsat01	incorrect	0.599000	0.599000	0.000000
BellmanFord-MemUnsat02	unknown	0.500000	0.500000	0.000000
BinaryTreeSearch-FunSat01	correct	2.840000	2.840000	0.000000
BinaryTreeSearch-FunUnsat01	correct	0.721000	0.721000	0.000000
BinaryTreeSearch-MemSat01	correct	4.339000	4.339000	0.000000
BinaryTreeSearch-MemUnsat01	correct	0.630000	0.630000	0.000000
BinaryTreeSearch-MemUnsat02	correct	0.641000	0.641000	0.000000
InsertionSort-FunSat01	correct	0.612000	0.612000	0.000000
InsertionSort-FunSat02	correct	0.582000	0.582000	0.000000
InsertionSort-FunUnsat01	incorrect	0.636000	0.636000	0.000000
InsertionSort-MemSat01	correct	0.573000	0.573000	0.000000
InsertionSort-MemUnsat01	unknown	0.649000	0.649000	0.000000
MergeSortIterative-FunSat01	correct	0.578000	0.578000	0.000000
MergeSortIterative-FunSat02	correct	0.573000	0.573000	0.000000
MergeSortIterative-FunUnsat01	incorrect	0.619000	0.619000	0.000000
MergeSortIterative-MemSat01	incorrect	0.580000	0.580000	0.000000
MergeSortIterative-MemUnsat01	incorrect	0.586000	0.586000	0.000000
RedBlackTree-FunSat01	correct	0.765000	0.765000	0.000000
RedBlackTree-FunUnsat01	correct	0.707000	0.707000	0.000000
RedBlackTree-MemSat01	correct	3.123000	3.123000	0.000000
RedBlackTree-MemUnsat01	unknown	0.977000	0.977000	0.000000
SortedListInsert-FunSat01	correct	3.184000	3.184000	0.000000
SortedListInsert-FunSat02	correct	4.692000	4.692000	0.000000
SortedListInsert-FunUnsat01	correct	0.909000	0.909000	0.000000
SortedListInsert-MemSat01	correct	1.862000	1.862000	0.000000
SortedListInsert-MemUnsat01	correct	0.521000	0.521000	0.000000
Trie-FunSat01	correct	0.521000	0.521000	0.000000
Trie-FunUnsat01	correct	0.631000	0.631000	0.000000
Trie-MemSat01	correct	0.527000	0.527000	0.000000
Trie-MemUnsat01	correct	0.598000	0.598000	0.000000
Tsp-FunSat01	unknown	0.516000	0.516000	0.000000
Tsp-FunUnsat01	unknown	0.525000	0.525000	0.000000
Tsp-MemSat01	unknown	0.496000	0.496000	0.000000
Tsp-MemUnsat01	unknown	0.494000	0.494000	0.000000
